Key,Mode,Component,Palette,PaletteLbl,Element,HexCode,RGB,UsageNotes,Font,SizePts
211,Dark,Chart,Text,,Chart Subtitle,#ABBED0,"(171, 190, 208)",Arial 11pt,Arial,11
212,Dark,Chart,Text,,Chart Title,#FFFFFF,"(255, 255, 255)",Arial 14pt,Arial,14
213,Dark,Chart,Text,,Data Label,#FFFFFF,"(255, 255, 255)",Arial 11pt,Arial,11
214,Dark,Dashboard,Text,,Control Header,#ABBED0,"(171, 190, 208)",Arial 11pt,,
215,Dark,Dashboard,Text,,Dashboard Body Text,#ABBED0,"(171, 190, 208)",Arial 11pt,Arial,11
216,Dark,Dashboard,Text,,Dashboard Help Text,#ABBED0,"(171, 190, 208)",Arial 11pt,Arial,11
217,Dark,Dashboard,Text,,Dashboard Subtitle,#ABBED0,"(171, 190, 208)",Arial 16pt,Arial,16
218,Dark,Dashboard,Text,,Dashboard Title,#FFFFFF,"(255, 255, 255)",Arial 26pt,Arial,26
219,Dark,Dashboard,Text,,Selected Control,#FFFFFF,"(255, 255, 255)",Arial 11pt,Arial,11
220,Dark,Dashboard,Text,,Unselected Control ,#ABBED0,"(171, 190, 208)",Arial 11pt,Arial,11
221,Dark,Dashboard ,Background,,Control or Filter Background,#112133,"(17, 33, 51)",,,
222,Dark,Dashboard ,Background,,General Background,#13283F,"(19, 40, 63)",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
